City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Mastic Beach,US,65.98,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
463,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
464,Clemson,US,72.21,clear sky,34.6834,-82.8374,Courtyard by Marriott Clemson
465,Constantine,DZ,67.41,broken clouds,36.365,6.6147,Grand Hotel Cirta
467,Mossamedes,AO,67.32,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
469,Kampong Thom,KH,74.91,overcast clouds,12.7111,104.8887,Sambor Village Hotel
474,Ponta Delgada,PT,71.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
477,Port Hedland,AU,71.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
486,Plettenberg Bay,ZA,65.19,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
491,Poum,NC,74.91,clear sky,-20.2333,164.0167,Gîte kajeon
496,Ojuelos de Jalisco,MX,71.82,scattered clouds,21.8667,-101.5833,Hotel La Paz
500,Karīmnagar,IN,69.55,overcast clouds,18.4333,79.15,Sravanthi palace
502,Hervey Bay,AU,65.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
511,Puerto del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
516,Ha Giang,VN,69.78,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
528,Jalu,LY,68.74,scattered clouds,29.0331,21.5482,صاحبة الفخامة
535,Westport,US,65.98,scattered clouds,41.1415,-73.3579,Norwalk Inn
538,San Quintín,MX,67.69,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
556,Bloomfield,US,65.89,scattered clouds,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
558,Johannesburg,ZA,65.28,clear sky,-26.2023,28.0436,Protea Hotel by Marriott Johannesburg Parktonian All-Suite
559,West Plains,US,66.52,clear sky,36.7281,-91.8524,West Plains Motel
579,Guadix,ES,65.88,broken clouds,37.2993,-3.1392,Hotel YIT Abentofail
580,Cascais,PT,70.95,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
583,Kumluca,TR,65.88,overcast clouds,36.3703,30.2869,TurkuazKöy
589,Grand Gaube,MU,72.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
592,Bon Air,US,70.61,broken clouds,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
603,Inhambane,MZ,71.04,scattered clouds,-23.865,35.3833,Oceano
607,Ardmore,US,74.64,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
609,Turaif,SA,70.05,broken clouds,31.6725,38.6637,Turaif
617,Praia da Vitória,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
620,Coihueco,CL,74.14,clear sky,-36.6167,-71.8333,Frutillares Coihueco
622,Porto Belo,BR,71.58,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
626,Sabaudia,IT,65.89,light rain,41.3003,13.0282,Oasi di Kufra
627,Lima,PE,66.38,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
632,Morondava,MG,74.12,few clouds,-20.2833,44.2833,La Case Bambou
642,Sumbe,AO,74.71,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
643,Ilo,PE,66.06,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
647,Haveli Lakha,PK,69.33,clear sky,30.4502,73.6989,Nasir Khan Lodhi
651,Los Llanos de Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
659,Binka,IN,71.13,clear sky,21.0333,83.8,DISASTER ACCOMMODATION
661,Aljezur,PT,68.05,overcast clouds,37.3191,-8.8033,Amazigh Hostel
664,Baghmara,IN,68.11,clear sky,23.795,86.2085,Shankar tea shop
667,Marsaxlokk,MT,67.08,light rain,35.8419,14.5431,Water's Edge
685,Le Port,RE,69.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
687,Fālākāta,IN,66.58,clear sky,26.5208,89.2055,Hotel Nandanik Palace
692,Abong Mbang,CM,68.99,light rain,3.9833,13.1833,Auberge Angle Sur
694,Tomohon,ID,65.34,overcast clouds,1.3346,124.8392,Gardenia Country Inn
703,Gwanda,ZW,73.47,clear sky,-20.9333,29.0,Mafax Homeways
706,Roebourne,AU,71.46,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
